cg0   ms1    t100                20.1           0.052753        0.0237538       0.000742120.000701566        20       0
cg0   ms1    t101                20.1           0.052753        0.0237538       0.000742120.000701566        20       0
cg0   ms1    t102                20.1           0.052753        0.0237538       0.000742120.000701566        20       0
cg0   ms1    t103                20.1           0.052753        0.0237538       0.000742120.000701566        20       0
cg0   ms1    t104                20.1           0.052753        0.0237538       0.000742120.000701566        20       0
cg0   ms1    t105                20.1           0.052753        0.0237538       0.000742120.000701566        20       0
cg0   ms1    t106                20.1           0.052753        0.0237538       0.000742120.000701566        20       0
cg0   ms1    t107                20.1           0.052753        0.0237538       0.000742120.000701566        20       0
cg0   ms1    t108                20.1           0.052753        0.0237538       0.000742120.000701566        20       0
cg0   ms1    t109                20.1           0.052753        0.0237538       0.000742120.000701566        20       0
cg0   ms1    t110                20.1           0.052753        0.0237538       0.000742120.000701566        20       0
cg0   ms1    t111                20.1           0.052753        0.0237538       0.000742120.000701566        20       0
cg0   ms1    t112                20.1           0.149834         0.033598      0.0007528870.000929088        20       0
cg0   ms1    t113                20.1           0.168059        0.0365104      0.0008786580.000935071        20       0
cg0   ms1    t114                20.1            0.15089        0.0329643      0.0009316330.000988385        20       0
cg0   ms1    t115                20.1           0.137211        0.0399442      0.0008477340.000921825        20       0
cg0   ms1    t116                20.1            0.13711         0.038035       0.000798670.000928875        20       0
cg0   ms1    t117                20.1           0.178723         0.034452       0.00100207 0.00104698        20       0
cg0   ms1    t118                20.1           0.170305        0.0276259      0.0009327720.000951166        20       0
cg0   ms1    t119                20.1           0.160821        0.0390917       0.000730510.000734602        20       0
cg0   ms1    t120                20.1           0.210238        0.0293705      0.0009185980.000922474        20       0
cg0   ms1    t121                20.1           0.129001        0.0410486      0.000801476 0.00080181        20       0
cg0   ms1    t122                20.1           0.148604        0.0323409      0.0009223830.000915899        20       0
cg0   ms1    t123                20.1             0.1258        0.0365505      0.0008329620.000815964        20       0
cg0   ms1    t124                20.1            0.17637        0.0461795      0.0008187160.000910504        20       0
